!	!, хороший ход, сильный ход
!!	!!, прекрасный ход, блестящий ход
!?	!?, ход, приводящий к неясным осложнениям
-dimensional	-мерный (mérnyj)
Irish	ирландский (m),ирландская (f), ирландское (n), ирландские (p)
Irish	ирландский (írlandskij) (m)
Iron Age	железный век (m) ()
Isaac	Исаак (Isaák)
Islam	ислам (islám) (m), мусульманство (musul’mánstvo) (n)
Islamic	исламский (m), исламская (f), исламское (n)
Israel	Израиль (Izráil’)
Istanbul	Стамбул (Stambúl) (m)
Italian	итальянский (ital’jánskij)
Italy	Италия (Itálija) (f)
Itokawa	Итокава (Itokáva) (m)
Ivorian	кот-дивуарский (kot-divuárskij)
Ivorian	котдивуарец (kotdivuárets)
Ivory Coast	Кот-д'Ивуар (Kot-d’Ivuár) (m)
Jacob	Я́ков (Jákov) Russian secular name), Иа́ков (Iákov) biblical), Дже́йкоб (Džéjkob) translation of English name)
Jainism	Джайнизм
Jakarta	Джакарта (f)
James	Яков
January	январь (janvár’) (m)
Japan	Япония (Yaponiya)
Japanese	японец (japónets) (m), японка (japónka) (f)
Japanese	японский (japónskij) (m), японская (japónskaja) (f), японское (japónskoje) (n)
Japanese	японский язык (japónskij jazýk) (m)
Japanese yew	тис остроконечный (tis ostrokonéčnyj) (m)
Jason	Ясон, Язон
Jedi	джедай (džédaj) (m) ("genitive:" джедая)
Jehovah	Иегова /Ijegóva/ (m)
Jehovah's Witnesses	Свидетели Иеговы (m) (p)
Jehovah's Witnesses	свидетель Иеговы (m)
Jersey	Джерси (Džérsi)
Jersey	Нью-Джерси (N’ju-Džérsi)
Jerusalem	Иерусалим (Jerusalím) (m)
Jesuit's bark	хина (khína) (f), хинная корка (khínnaja kórka) (f), хинная кора (khínnaja korá) (f), хинная настойка (khínnaja nastójka) (f)
Jesus	Иисус (Iisús) (m)
Jesus Christ	Иисус Христос (Iisús Xristós) (m)
Jew	еврей (jevréj) (m), еврейка (jevréjka) (f), жид (m)
Jew	иудей (iudéj) (m), иудейка (f)
Jewish	еврейский (jevréjskij)
Jewish Autonomous Oblast	Еврейская автономная область (Yevreyskaja avtonomnaja oblast)
Joab	Иоав (Ioáv)
Job	Иов (ióv)
Job	Иов (ióv)
John	Иван (Iván)
John the Baptist	Иоанн Креститель (m)
Jordan	Иордания (Iordaniya)
Joseph	Иосиф (Iósif)
Judaism	иудаизм (iudaízm) (m)
Julian calendar	Юлианский календарь (juliánskij kal'endár') (m)
July	июль (ijúl’) (m)
June	июнь (ijún’) (m)
Jupiter	Юпитер (m)
Jupiter	Юпитер (m)
Justin	Юстин (Justín)
Jutland	Ютландия (Jutlándija) (f)
KGB	КГБ
Kabul	Кабул (Kabúl) (m)
Kalashnikov	АК-47, автомат Калашникова, калаш
Kampuchea	Кампучия (Kampučíja) (f)
Kansas	Канзас (Kanzás) (m)
Kansas City	Канзас-Сити (Kanzás-Cíti)
Karelian	карельский (karél’skij)
Karelo-Finnish SSR	Карело-Финская ССР (Karelo-Finskaja SSR)
Karlovac	Карловац (m)
Kashmir	Кашмир (Kašmír) (m)
Kashubian	кашубский (kašúbskij)
Kazakh	казах (kazák) (m), казашка (kazáška) (f)
Kazakh SSR	Казахская ССР (Kazakhskaja SSR)
Kazakhstan	Казахстан (Kazakhstán) (m)
Kentucky	Кентукки (Kentúkki) (m)
Kenya	Кения (Kénija) (f)
Khartoum	Хартум (Khartúm) (m)
Khmer	кхмерский (khmérskij)
Kiev	Киев (Kíjev) (m)
Kilimanjaro	Килиманджаро (Kilimandžáro)
King Arthur	Король Артур
Kiribati	Кирибати (Kiribáti)
Klingon	клингонский (klingonskij) (m)
Koine	койне (kojné) (n)
Kolkata	Калькутта (Kal’kútta) (f)
Korea	Корея (Koréja) (f)
Korean	кореец (koréjets) (m), кореянка (korejánka) (f)
Korean	корейский (koréjskij)
Korean	корейский язык (koréjskij jazýk) (m)
Kosovo	Косово
Kraken	Кракен (krak'én)
Kremlin	Кремль (Krémlin) (m)
Kurdish	курдский (kúrdskij) (m)
Kuwait	Кувейт (Kuvéjt) (m)
Kyoto	Киото (Kióto) (m)
Kyrgyz	киргиз (kirgíz) (m), киргизка (kirgízka) (f)
Kyrgyz	киргизский (kirgízskij)
Kyrgyz	киргизский язык (kirgízskij jazýk)
Kyrgyz SSR	Киргизская ССР (Kirgizskaja SSR)
Kyrgyzstan	Киргизстан (Kirgizstán) (m), Киргизия (Kirgízija) (f)
Labrador	Лабрадор (Labradór) (m)
Lacerta	Ящерица
Lagrangian	лагранжиан (lagranžián) (m)
Lagrangian function	функция Лагранжа (fúnktsija lagránža) (f)
Lao	лаосец (laósets) (m), лаоска (laóska) (f)
Lao	лаосский (laósskij)
Lao	лаосский (laósskij)
Laos	Лаос (Laós) (m)
Laotian	лаосец (laósets) (m), лаоска (laóska) (f), лаосцы (laóstsy) (p)
Laotian	лаосский (laósskij)
Laotian	лаосский (laósskij)
Lapland	Лапландия
Latin	латинский (latínskij)
Latin	латинский (latínskij)
Latin	латинский (latínskij), латиноамериканский (latinoamerikánskij)
Latin	латинский язык (latínskij jazýk) (m), латынь (latýn’) (f)
Latin	римлянин (rímljanin) (m), римлянка (rímljanka) (f)
Latin	римский (rímskij), латинский (latínskij)
Latin	романский (románskij), латинский (latínskij)
Latin alphabet	латиница (latínitsa) (f), латинский алфавит (latínskij alfavít) (m)
Latvia	Латвия
Latvian	латыш (latýš) (m), латышка (latýška) (f)
Latvian	латышский (latýšskij)
Latvian	латышский (latýšskij)
Latvian SSR	Латвийская ССР (Latviyskaja SSR)
Laurasia	Лавразия (f)
Lazarus	Лазарь (m)
Lebanese	ливанец (m), ливанка (f)
Lebanese	ливанский
Lebanon	Ливан (Liván) (m)
Leipzig	Лейпциг
Lena	Лена (Léna) (f)
Leningrad	Ленинград (Leningrád) (m)
Leo	Лев (Lev) (m)
Leo	Лев (Lev) (m)
Leo	Лев (Lev) (m)
Leo Minor	Малый Лев
Lepus	Заяц
Lesotho	Лесото
Lhasa	Лхаса (Lχása) (f)
Liberia	Либерия
Libra	Весы (Vesý) (m) (p)
Libra	Весы (Vesý) (m) (p)
Libya	Ливия (Liviya)
Liechtenstein	Лихтенштейн
Liguria	Лигурия (Ligúrija) (f)
Limburgian	лимбургский (límburgskij)
Lincoln	Линкольн (Línkol’n) (m)
Lincoln	линкольн (línkol’n) (m)
Lincoln	линкольнская порода овец (linkól’nskaja poróda ovéts) (m)
Linux	Ли́нукс
Lisbon	Лиссабон
Litfaßsäule	афишная тумба
Lithuania	Литва
Lithuanian	литовец (m), литовка (f)
Lithuanian	литовский (m), литовская (f)
Lithuanian	литовский язык (litóvskij jazýk) (f)
Lithuanian SSR	Литовская ССР (Litovskaja SSR)
Little Red Riding Hood	Красная Шапочка
Liverpool	Ливерпул (Líverpul) (m)
Liverpool	Ливерпуль (Liverpúl’) (m)
Livonia	Лифляндия (f) (Lifljándija)
Livonian	ливский (lívskij)
London	Лондон (Lóndon) (m)
London	Лондон (Lóndon) (m)
London	лондонский (lóndonskij)
Londoner	лондонец (lóndonets) (m)
Los Angeles	Лос-Анжелос (Los-Ánželos) (m) (s)
Louisiana	Луизиана (Luiziána) (f)
Lower Saxony	Нижняя Ни́жняя Саксо́ния (Nižn'aja Saksónija)
Lucas	Лука (Luká)
Lucian	Лукиан (Lukian) (m)
Lupus	Волк
Luxembourg	Люксембург (Ljuksembúrg)
Lynx	Рысь
Lyra	Лира
Macedonia	Македония (Makedoniya) (f)
Macedonia	Македония (Makedoniya) (f)
Macedonia	Македония (Makedoniya) (f)
Macedonian	македонец (makedónets) (m), македонка (makedónka) (f)
Macedonian	македонский (makedónskij)
Madagascar	Мадагаскар
Madras	Мадрас (Madrás) (m)
Mahilyow	Могилёв (Mogilëv)
Maine	Мэн (Mɛn))
Malawi	Малави (Malavi)
Malay	малайский (malájskij)
Malaysia	Малайзия (Malájzija) (f)
Maldives	Мальдивы (Mal’divy)
Mali	Мали (Mali)
Malta	Мальта (Mál’ta)
Malta	Мальта (Mál’ta)
Malta Island	остров Мальта (óstrov Mál’ta) (m)
Man	человек (čelovék) (m)
Manchester	Манчестер (Mančéster) (m)
Mandarin	мандаринский (mandarínskij) (m)
Manhattan	Манхэттен (Manχɛ́tten)) (m)
Manhattan	манхэттен (manχɛ́tten)) (m)
Manila hemp	манильская пенька (f), абака (f)
Manitoba	Манитоба (Manitóba) (f)
Maori	маори (máori) (mf) (2)
March	март (mart) (m)
Mars	Марс (Mars) (m)
Mars	Марс (Mars) (m)
Mars	Марс (Mars) (m)
Mars Rover	марсоход (marsohod, (m))
Marshall Islands	Маршалловы острова (Maršallovy ostrova)
Marshallese	маршалльский (maršall’skij)
Martial	Марциал (Martsial)
Martian	марсианин (marsiánin) (m)
Martian	марсианский (marsiánskij)
Martian	марсианский (marsiánskij)
Martinique	Мартиника (Martinika)
Marxism	мaрксизм  (marksizm, (m))
Marxism	мaрксизм  (marksizm, (m))
Mary	Мария (Marija, Marya)
Maryland	Мэриленд (Mérilend) (m)
Massachusetts	Массачусетс (Massačúsɛts)) (m)
Matthew	Матвей
Mauritania	Мавритания
Mauritius	Маврикий
May	Майя (Májja), Маечка (Máječka)
May	май (maj) (m)
Mayotte	Майотта
Mediterranean	средиземноморский, средиземный
Mediterranean Sea	Средиземное море (n)
Melbourne	Мельбурн (Mél’burn) (m)
Mensa	Столовая Гора
Mercury	Меркурий (Merkúrij) (m)
Mercury	Меркурий (Merkúrij) (m)
Merry Christmas	С Рождеством Христовым
Merry Christmas and a Happy New Year!	С Рождеством Христовым и с Новым годом (S Rozhdestvóm Khristóvym i s Nóvym gódom)
Mesolithic	Мезолит (m) (mesolit)
Meuse	Маас (Maas)
Mexico	Мексика (Méksika) (f)
Mexico	Мехико (Méχiko) (m)
Mexico City	Мехико (Méχiko) (n)
MiG	МиГ (m)
Miami	Майами (Majámi)
Michael	Михаил (Mikhaíl)
Michaelmas	Михайлов день (Mikhájlov den') (m)
Michigan	Мичиган (Mičigán) (m)
Mickey Mouse	Микки Маус
Micronesia	Микронезия
Microscopium	Микроскоп
Milan	Милан (Milán) (m)
Milan	Милан (Milán) (m)
Milky Way	Млечный путь (Mléčnyj put’) (m)
Milky Way	Млечный путь (Mléčnyj put’) (m)
Minnesota	Миннесота (Minnesóta) (f)
Mira	Мира
Mississippi	Миссисипи (Missisípi)
Mississippi	Миссисипи (Missisípi)
Missouri	Миссури (Missúri)
Missouri	Миссури (Missúri)
Mizar	Мицар
Moksha	мокшанский (mokšánskij)
Moldavian SSR	Молдавская ССР (Moldávskaja SSR)
Moldova	Молдова
Molotov cocktail	коктейль Молотова (koktéjl’ Molotóva) (m)
Monaco	Монако
Monday	понедельник (ponedél’nik) (m)
Mongolia	Монголия (Mongólija) (f)
Mongolian	монгол (mongól) (m)
Mongolian	монгол (mongól) (m), монгóлка (f)
Mongolian	монгольский (mongól’skij) (m)
Monoceros	Единорог
Montana	Монтана (Montána) (f)
Montreal	Монреаль (Monreál’) (m)
Moor	Мавры) (Mavri)
Mormon	Мормон (m)
Mormon	Мормон (m)
Mormon	мормон (m), мормонка (f)
Mormon	мормонский
Morocco	Марокко (Marókko)
Morse code	азбука Морзе (ázbuka Mórzɛ)) (f)
Moscow	Москва (Moskvá) (f)
Moses	Моисей (Moiséj)
Mount Everest	Эверест (Everést) (m), Джомолунгма (Džomolúngma) (f)
Mozambique	Мозамбик
Muay Thai	тайский бокс (tájskij boks) (m)
Muggle	Маггл (m)
Muhammad	Мухаммед (Muχámmed), Мохаммед (Moχámmed)
Mumbai	Мумбаи (Mumbái) "indeclinable"
Munich	Мюнхен (Mjúnkhen) (m)
Murray	Муррей (Múrrej), Марри (Márri)
Musca	Муха (múχa) (f)
Muscat	Маскат (Maskát) (m)
Muscovite	москвич (moskvíč) (m), москвичка (moskvíčka) (f)
Muse	муза (muza}
Muslim	мусульманин (m), мусульманка (f)
Muslim	мусульманский (m)
Myanmar	Мьянма (M’janmá) (f)
NATO	НАТО (f)
NY	шт. Нью-Йорк (štat N’ju-Jórk) (m)
NYC	Манхэттен (Manχɛ́tten)) (m)
NYC	г. Нью-Йорк (g. N’ju-Jórk) (m)
Nagykanizsa	Надьканижа (Nad’kaniža)
Nahuatl	науатль (nauatl’) (m)
Nairobi	Найроби (Najróbi)
Namibia	Намибия
Naples	Неаполь (m)
Naples	Неаполь (m)
Narnia	Нарния (Nárnija) (f)
Natal	Наталь (Natál’) (m)
Nauru	Науру (Naúru)
Navajo	навахо (navákho) "m (indeclinable)"
Naypyidaw	Пьинмана (Pyinmaná)
Nebraska	Небраска (Nebráska) (f)
Nebuchadnezzar	Навуходоносор
Nenets	ненецкий язык (nénetskij jazýk) (2)
Neolithic	Неолит (m) (Neolit)
Nepal	Непал (m)
Neptune	Нептун (m)
Nessie	Не́сси (Néssi) (f)
Netherlands	Нидерланды (Niderlándy) "m pl"
Netherlands	нидерландский (niderlándskij)
Netherlands Antilles	Антильские острова
Nevada	Невада (Neváda) (f)
New Caledonia	Новая Каледония
New Delhi	Нью-Дели (N’ju-Dɛ́li)), г. Дели (górod Dɛ́li)) (m)
New Hampshire	Нью-Хэмпшир (N’ju-Xémpšir) (m), Нью-Гэмпшир (N’ju-Gémpšir) (m)
New Jersey	Нью-Джерси (N’ju-Džérsi)
New Mexico	Нью-Мексико (N’ju-Méksiko) (n)
New Orleans	Новый Орлеан (Nóvyj Orleán) (m)
New Testament	Новый Завет (nóvyj zavét) (m)
New World	Новый Свет (nóvyj sv'et) (m)
New York	Нью-Йорк (N’ju-Jórk) (m), г. Нью-Йорк (g. N’ju-Jórk) (m), город Нью-Йорк (górod N’ju-Jórk) (m)
New York	шт. штат Нью-Йорк (štat N’ju-Jórk) (m)
New York City	Нью-Йорк (N’ju-Jórk) (m), г. Нью-Йорк (g. N’ju-Jórk) (m), город Нью-Йорк (górod N’ju-Jórk) (m)
New York State	шт. Нью-Йорк (št. N’ju-Jórk) (m), штат Нью-Йорк (štat N’ju-Jórk) (m)
New Yorker	нью-йоркец (m)
New Zealand	Новая Зеландия (Nóvaja Zelándija) (f)
Newcastle	Ньюкасл (N’jukásl) (m)
Newfoundland	Ньюфаундленд (N’jufáundlend) (m)
Newfoundland and Labrador	Ньюфаундленд и Лабрадор (N’jufáundlend i Labradór) (m)
Newspeak	новояз (novojáz) (m)
Nguyen	Нгуен
Nicaragua	Никарагуа
Niger	Нигер
Nigeria	Нигерия (Nigérija) (f)
Nike	Ника (f), Нике (f)
Nile	Нил (Nil) (m)
Nina	Нина (Nína)
